LGA Status,Program Name,Round,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners/ Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb/Location,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project,Local Government Area (LGA),RAP Region (based on Project Location),State Electorate,Contractual Commitment ($ GST excl.),Approval Date,Approval Year,Indigenous_Related,Medical_Related
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,," Sullivan Nicolaides Pathology Pty Ltd 
 Metro North Hospital and Health Services - The Prince Charles Hospital",Toward routine blood testing for early cardiovascular disease detection - Jacky Suen.,Chermside,4032,"St. Lucia, Brisbane, Queensland; Parkville, Melbourne, Victoria",Brisbane (C),Brisbane and Redlands,Maiwar,300000,2019-11-18,2019,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The Council of the Queensland Institute of Medical Research,Herston,4006,," BrizBrain & Spine 
 Xing Technologies Pty Ltd",brAIn: Enabling Precision Treatment for Brain Cancers using Artificial Intelligence - Sriganesh Srihari,Herston,4006,"BrizBrain & Spine Neurosurgery Clinic, The Wesley Hospital,  Suite 20, Level 10, Chasely Street Auchenflower Qld 4066",Brisbane (C),Brisbane and Redlands,McConnel,300000,2019-11-18,2019,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Griffith University,Nathan,4111,," Department of Environment and Science - Brisbane 
 Minjerribah Moorgumpin Elders-in-Council Aboriginal Corporation",Wetlands for improving water quality of the Great Barrier Reef- Fernanda Adame,Nathan,4111,"400 George Streeet, Brisbane City, 4000.  Cardwell, 4949, and Innisfail, 4860, QLD.",Brisbane (C),Brisbane and Redlands,Toohey,300000,2019-11-18,2019,1,0
Regional Councils,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Central Queensland University,Norman Gardens,4701,, Perfection Fresh Australia Pty Ltd,Automating crop estimation and harvest of Calypso mango - Zhenglin Wang,Norman Gardens,4701,"Ontario Farms, Dimbullah, Qld.; Simpsons Orchards, Childers, Qld.; DAF Mareeba, Qld; Perfection Fresh, Brisbane Markets, Rocklea, Qld.",Rockhampton (R),Central Queensland,Keppel,82440,2019-11-18,2019,0,0
Regional Councils,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,University of Southern Queensland,Darling Heights (Toowoomba),4350,," Turbine MachineGenes Pty Ltd 
 Evolving Machine Intelligence Pty Ltd","Individualised Digital Twins for aerospace and space systems for enhanced analysis, prediction and health monitoring - Ingo Jahn",Helensvale,4212,"UniSQ Toowoomba, 487-535 West St, Darling Heights QLD 4350",Toowoomba (R),Gold Coast,Toowoomba South,300000,2019-11-18,2019,0,0
Regional Councils,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,University of Southern Queensland,Darling Heights (Toowoomba),4350,," SkillCentred Queensland Constructions Pty Ltd 
 Department of Transport and Main Roads 
 Sustainable Alliance Pty Ltd",Future Proofing Queensland’s Infrastructure through Climate Resilient Concrete Technologies – Allan Manalo,Darling Heights,4350,"313 Adelaide Street, Brisbane City, Qld 4000; 214 Mary Street, Gympie, Qld 4570",Toowoomba (R),Darling Downs,Toowoomba South,300000,2019-11-18,2019,0,0
Regional Councils,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,University of Southern Queensland,Darling Heights (Toowoomba),4350,," Graphene Manufacturing Australia Pty Ltd 
 Wagners CFT Manufacturing Pty Ltd",Using nano-sensors to monitor the production of graphene-based construction materials - Leila Javazmi,Darling Heights,4350,"1)Wagners CFT Manufacturing Pty Ltd: 1511 Toowoomba Cecil Plains Road Wellcamp Qld 4350, Australia   2)Graphene Manufacturing Group Pty Ltd: 90 Staghorn Street, Enoggera Queensland 4051",Toowoomba (R),Darling Downs,Toowoomba South,180000,2019-11-18,2019,0,0
Regional Councils,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,University of the Sunshine Coast,Sippy Downs,4556,," Commonwealth Scientific and Industrial Research Organisation, Oceans & Atmosphere Flagship 
 Walker Seafoods Australia Pty Ltd","Predicting ""jellymeat"" in swordfish for fisheries sustainability under climate change - Kylie Scales",Sippy Downs,4556,"Mooloolaba, QLD; Hobart, TAS",Sunshine Coast (R),Sunshine Coast,Buderim,80000,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,," Queensland Alumina Limited 
 RIO TINTO ALUMINIUM LIMITED",Developing marine bacteria biotechnology for red mud rehabilitation and rare-earth recovery - Fang You,St Lucia,4067,"Parson Point, Gladstone, Queensland 4680 Rio Tinto Aluminium, Brisbane, QLD",Brisbane (C),Brisbane and Redlands,Maiwar,180000,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,," Mitsubishi Motors Australia Limited 
 Veitch Lister Consulting Pty Ltd 
 Evie Australia 
 Tritium Pty Ltd",Increasing electric vehicle uptake to deliver energy sector co-benefits - Jake Whitehead,St Lucia,4067,"UQ's Moreton Bay Research Station, Stradbroke Island is one of the proposed sites for the smart charging trial.",Brisbane (C),Brisbane and Redlands,Maiwar,118647,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,, Queensland Urban Utilities,Rapid and Comprehensive Microbial Profiling for Water Sustainability – Gaofeng Ni,Darra,4076,"1) Scientific Analytical Services (SAS) laboratory, 180 Ashridge Road, Darra QLD, 4076;  2) Luggage Point Sewage Treatment Plant, Pinkenba, QLD, 4008",Brisbane (C),Brisbane and Redlands,Maiwar,161221,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,," Metro South Hospital and Health Service  - Princess Alexandra Hospital 
 EMvision Medical Devices Ltd",Portable and fast medical imaging using electromagnetic beamography - Ali Zamani,St Lucia,4067,"199 Ipswich Road, Woolloongabba, Brisbane, QLD, 4102; 10/12 Creek Street, Brisbane, QLD, 4000",Brisbane (C),Brisbane and Redlands,Maiwar,180000,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,," LuvaBerry 
 Queensland Strawberry Growers Association Inc 
 SDI Plastics 
 C SEA Solutions Pty Ltd T/A ULUU",Finally Biobased and Biodegradable Packaging for Australian Berries - Luigi Vandi,St Lucia,4067,"Beenleigh, Queensland 4207",Brisbane (C),Brisbane and Redlands,Maiwar,180000,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,, Magnetica Limited,The development of the radiofrequency and imaging systems for a compact 3T musculoskeletal MRI scanner – Mingyan Li,Eagle Farm,4009,"The University of Queensland, St Lucia, QLD",Brisbane (C),Brisbane and Redlands,Maiwar,178043,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,, Comscentre Pty Ltd,AI-based Cyber-Attack Detection and Response System for Queensland based SMEs - Siamak Layeghy,St Lucia,4067,15 Mayneview St Milton QLD 4064 Australia,Brisbane (C),Brisbane and Redlands,Maiwar,180000,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,," Oaky Creek Coal Pty Ltd 
 Anglo Coal (moranbah North Management) Pty Limited 
 Australian Coal Research Limited",Improving fine-coal production and safety through advanced froth management - Yangyang Huai,St Lucia,4067,"Coal handling and preparation plant, Oaky Creek Coal, QLD; Coal handling and preparation plant, Moranbah North Mine, QLD.",Brisbane (C),Brisbane and Redlands,Maiwar,31569,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,, Cook Medical Australia Pty Ltd,"Advanced Manufacturing of Radiopaque, Implantable Micro-components - Jeffrey Venezuela",St Lucia,4067,"95 Brandl St, Eight Mile Plains QLD 4113",Brisbane (C),Brisbane and Redlands,Maiwar,180000,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,, Australian Coal Research Limited,Implementing non-dangerous frothers in coal preparation plants – Yufan Mu,St Lucia,4067,"Daunia Coal Mine, Oaky Creek Coal, Newlands Coal",Brisbane (C),Brisbane and Redlands,Maiwar,162889,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,," Boehringer-Ingelheim Animal Health Australia Pty Ltd 
 Department of Agriculture and Fisheries - Dutton Park 
 BAM Pastoral 
 Warroo Station Pty Ltd 
 ND and MA O’ Dempsey 
 Dunblane Pastoral Holdings Pty Ltd 
 University of the Sunshine Coast",BioClay innovation: sustainable alternative to pesticides for protecting Queensland’s livestock - Karishma Mody,St Lucia,4067,"42164 Landsborough highway, Barcaldine QLD 4725 (5%);  Warroo Station,  Inglewood Qld 4387 (5%); 6 Oakbar Close, Springfield QLD 4300 (10%);  41 Boggo Road, Dutton Park, QLD 4102 (20%).",Brisbane (C),Brisbane and Redlands,Maiwar,180000,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,, Queensland Urban Utilities,Create a stronger economic driver for biogas production and utilization- Chunyu Lai,St Lucia,4067,"Pinkenba, Brisbane, QLD",Brisbane (C),Brisbane and Redlands,Maiwar,139682,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,," Darwalla Milling Co Pty Ltd 
 Ridley Corporation Limited",Green nanotechnology-based antibiotic-free poultry feed against coccidiosis – Jie Tang,St Lucia,4067,"Ridley facilities in Clifton, Toowoomba and Townsville, QLD? Darwalla facillities in Gatton, Waterford and Mount Cotton, QLD.",Brisbane (C),Brisbane and Redlands,Maiwar,180000,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,," CSIRO 
 Southern Queensland Landscapes 
 Comet Ridge Galilee Pty Ltd 
 Australia Pacific LNG Pty Limited 
 Santos Limited 
 Arrow Energy Pty Ltd 
 Queensland Farmers' Federation Ltd",Enabling Transition: understanding co-benefits of new energy projects - Kathy Witt,St Lucia,4067,"Dalby, Chinchilla, Wandoan, Miles, Roma, Charleville, Clermont, Barcaldine, Moranbah, Dysart, Warwick, Gladstone - all in Queensland.  Possibly Hastings Point, Victoria as a case study",Brisbane (C),Brisbane and Redlands,Maiwar,300000,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,, Boeing Defence Australia Ltd,Integrated computational materials model using AI for advanced manufacturing – Yunpeng Zhang,St Lucia,4067,"The University of Queensland, St Lucia, Brisbane",Brisbane (C),Brisbane and Redlands,Maiwar,180000,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,, Queensland Urban Utilities,Aggregated Algal / Bacterial Flocs for Wastewater Treatment and Algae Industries- Andrew Ward ,Pinkenba,4008,,Brisbane (C),Brisbane and Redlands,Maiwar,180000,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,," Solvay Technology Solutions 
 Magotteaux Australia Pty Ltd 
 Mount Isa Mines Limited",Overcoming pyrite challenges in Queensland’s ore reserves and mine tailings – Elizaveta Forbes,Indooroopilly,4068,"Mount Isa Mines - Railway Ave, Mount Isa QLD 4825 & Head office of Mount Isa Mines’ parent company - Glencore Queensland - 160 Ann St, Brisbane City QLD 4000",Brisbane (C),Brisbane and Redlands,Maiwar,300000,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Griffith University,Southport,4222,," Eurofins Environmental Testing Australia Pty Ltd 
 South Australia Water Corporation 
 Sydney Water Corporation 
 Queensland Urban Utilities",Risks of microplastics in biosolids to soils and agro-ecosystems - Shimaalsadat Ziajahromi,Southport,4215,"Darra QLD 4076, Australia (SAS laboratories)/   Fortitude Valley QLD 4006 (QUU)",Gold Coast (C),Gold Coast,Bonney,180000,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Griffith University,Nathan,4111,," The University of Queensland  - St Lucia Campus - Master 
 Metro North Hospital and Health Service - Clinical Skills Development Service 
 Metro North Hospital and Health Service - Jamieson Trauma Institute","Improving emergency trauma care for rural, regional, and remote Queenslanders - Chiara Santomauro",Herston,4006,"Interviews and observations will be conducted across various rural, regional, and remote sites in Queensland. The clinical trial will be conducted in Mackay and Bundaberg, Queensland",Brisbane (C),Brisbane and Redlands,Toohey,180000,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Griffith University,Nathan,4111,," Healthy Land and Water Ltd 
 Seqwater",Future proofing Queensland’s drinking water supply using green infrastructure - Hannah Franklin,Nathan,4111,"117 Brisbane St, Ipswich QLD 4305; Level 19/160 Ann St, Brisbane City QLD 4000",Brisbane (C),Brisbane and Redlands,Toohey,180000,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Queensland University of Technology,Brisbane City,4000,, Carpe Vitae Pharmaceuticals Pty Ltd,The development of a new compound to treat Alzheimer's disease - Dr Alexander Martyn,Woolloongabba,4102,"Princess Alexandra Hospital, Brisbane",Brisbane (C),Brisbane and Redlands,McConnel,180000,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Queensland University of Technology,Brisbane City,4000,," Metro South Hospital and Health Service - Princess Alexandra Hospital 
 Translational Research Institute Trust 
 Pathology Queensland",A personalised blood test for better prostate cancer patient outcome - Jyotsna Batra,Woolloongabba,4102,,Brisbane (C),Brisbane and Redlands,McConnel,300000,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Queensland University of Technology,Brisbane City,4000,," Department of Natural Resources, Mines and Energy - Dutton Park 
 Department of Environment and Science",Protecting the Great Barrier Reef by quantifying fine sediment discharge - Daniel Livsey,Dutton Park,4102,"Cairns, Ingham, Townsville, Rockhampton, Mackay and Bundaberg",Brisbane (C),Brisbane and Redlands,McConnel,180000,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,Queensland University of Technology,Kelvin Grove,4059,," Mater Misericordiae Ltd 
 Gelomics Pty Ltd 
 Inventia Life Science Operations Pty Ltd",Bioengineered Platforms for Individualised Therapy Guidance in Breast Cancer - Nathalie Bock,Kelvin Grove,4159,,Brisbane (C),Brisbane and Redlands,McConnel,300000,2019-11-18,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,, Zeotech Limited,Developing low cost technology to turn clay to zeolite-Hong Peng,Indooroopilly,4068,,Brisbane (C),Brisbane and Redlands,Maiwar,300000,2019-11-18,2019,0,0
Cities,QCN Fibre connection to North Queensland Regional Data Centre,Round 1,Townsville City Council,Townsville City,4810,,,Delivery of Townsville Point of Interconnect (POI),Garbutt,4814,,Townsville (C),Townsville,Townsville,192394,2019-11-27,2019,0,0
Regional Councils,Rockhampton Technology and Innovation Centre,,Central Queensland University,Norman Gardens,4701,,,Rockhampton Advanced Technology and Innovation Centre,Norman Gardens,4701,,Rockhampton (R),Central Queensland,Keppel,2800000,2019-12-12,2019,0,0
Regional Councils,Startup Gladstone - EarlyPreneur Programme,Round 1,Start-up Gladstone Inc,Gladstone,4680,," Bank of Queensland Gladstone 
 Australia and New Zealand Banking Group 
 Australia Pacific LNG Pty Limited",EarlyPrenuer Program Support,Gladstone Central,4680,,Gladstone (R),Central Queensland,Gladstone,60000,2019-12-15,2019,0,0
Cities,Life Sciences Queensland,,Life Sciences Queensland Limited,Toowong,4066,,,Life Sciences Queensland Project Delivery from 1 April 2020 to 31 March 2021,Toowong,4066,,Brisbane (C),Brisbane and Redlands,Maiwar,450000,2020-01-14,2020,0,0
Regional Councils,Queensland Connects,Round 1,Greater Whitsunday Alliance Limited,Mackay,4740,,,Queensland Connects - Cohort 1 - Mackay,Mackay,4740,,Mackay (R),Mackay-Whitsunday,Mackay,100000,2020-02-04,2020,0,0
Regional Councils,Regional Network Fund,Collaborative Projects 2019-20 Round 1,Central Highlands Development Corporation,Emerald,4720,," Sunshine Coast (SCRIPT) 
 Greater Whitsunday Alliance (GW3) 
 Remote Area Planning and Development Board (RAPAD)",Food and Fibre Plus,Emerald,4720,"Longreach, QLD; Mackay, QLD; Biloela, QLD; Bowen QLD",Central Highlands (R),Central Queensland,Gregory,75000,2020-02-05,2020,0,0
Regional Councils,Regional Network Fund,Collaborative Projects 2019-20 Round 1,Sunshine Coast Regional Council,Maroochydore,4558,," Rockhampton Regional Council 
 Bundaberg Enterprise Centre Association Inc 
 Fraser Coast Regional Council 
 Community Lifestyle Support Ltd 
 Central Highlands Development Corporation (CHDC) 
 Moreton Bay Regional Industry and Tourism Ltd  University of the Sunshine Coast 
 Smart Precinct NQ Limited",Queensland Regional Innovation Benchmark (QRIB),Sippy Downs,4556,"Hervey Bay, QLD Bundaberg, QLD Townsville, QLD Rockhampton, QLD Emerald, QLD Kippa-Ring, QLD",Sunshine Coast (R),Sunshine Coast,Buderim,75000,2020-02-05,2020,0,0
Cities,QCN Fibre Regional Pilot Program,Round 1,Queensland Capacity Network Pty Ltd,Fortitude Valley,4006,,,QCN Pilots Project,Fortitude Valley,4006,"Toowoomba, Warwick and Goondiwindi",Brisbane (C),Brisbane and Redlands,McConnel,197000,2020-03-11,2020,0,0
Cities,SoftBank,,77 Partners Pty Ltd,Fortitude Valley,4006,,,Robotics Accelerator,Fortitude Valley,4006,,Brisbane (C),Brisbane and Redlands,McConnel,400000,2020-03-11,2020,0,0
Cities,Queensland Connects,Round 1,Queensland University of Technology,Brisbane City,4000,, Australian National Audit Office,Queensland Connects - Cohort 1 - QUT,Brisbane City,4000,,Brisbane (C),Brisbane and Redlands,McConnel,334800,2020-03-12,2020,0,0
Cities,Regional Network Fund,Collaborative Projects 2019-20 Round 1,Gold Coast Innovation Hub Limited,Varsity Lakes,4227,," Logan City Council 
 Redland City Council 
 Ipswich City Council 
 Community Lifestyle Support 
 RAPAD 
 Split Spaces Mackay 
 Health Management Pty Ltd Trading as YEP Cairns",Scaling Wisdom Across Regional Queensland,Varsity Lakes,4227,"Ipswich, QLD  Redland Bay, QLD  Logan, QLD  Longreach, QLD Bundaberg, QLD",Gold Coast (C),Gold Coast,Mermaid Beach,52500,2020-03-12,2020,0,0
Regional Councils,Queensland Connects,Round 1,Toowoomba and Surat Basin Enterprise Pty Ltd,Toowoomba City,4350,,,Queensland Connects - Cohort 1 - Toowoomba,Toowoomba City,4350,,Toowoomba (R),Darling Downs,Toowoomba North,52668,2020-04-09,2020,0,0
Regional Councils,Queensland Connects,Round 1,Central Queensland University,Gladstone Central,4680,,,Queensland Connects - Cohort 1 - Gladstone,Gladstone Central,4680,,Gladstone (R),Central Queensland,Gladstone,96190,2020-04-09,2020,0,0
Cities,UQ - COVID-19 Vaccine,UQ - COVID-19 Vaccine,The University of Queensland,St Lucia,4067,,,Rapid Acceleration of the UQ COVID-19 Vaccine Program,St Lucia,4067,,Brisbane (C),Brisbane and Redlands,Maiwar,10000000,2020-04-16,2020,0,1
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Yodel Digital Pty Ltd,Yarrabilba,4207,,,Yodel Commercialisation Project,Yarrabilba,4207,,Logan (C),Logan,Logan,100000,2020-05-08,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Bankedge Pty Ltd,Kalinga,4030,,,Bank Margin Reviews as a Service,Kalinga,4030,,Brisbane (C),Brisbane and Redlands,Clayfield,80000,2020-05-08,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Cogniom Pty Ltd,Brisbane City,4000,,,Cogniom's TANDM Suite,Brisbane City,4000,,Brisbane (C),Brisbane and Redlands,McConnel,100000,2020-05-08,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,CyberMetrix Pty Ltd,Fortitude Valley,4006,,,Cyberturity® Pro 3rd Party Digital Trust Platform,Fortitude Valley,4006,,Brisbane (C),Brisbane and Redlands,McConnel,100000,2020-05-08,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Heartbeat Enterprises Pty Ltd,Augustine Heights,4300,,,Commercialisation of Squizify Food Safety Technology Platform,Augustine Heights,4300,,Ipswich (C),Ipswich,Jordan,90000,2020-05-08,2020,0,0
Regional Councils,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Engag3d Pty Ltd,North Lakes,4509,,,Engag3d Autonomous Marketing using SmartSkills,North Lakes,4509,,Moreton Bay (R),Moreton Bay,Bancroft,150000,2020-05-08,2020,0,0
Regional Councils,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Health Management Pty Ltd,Westcourt,4870,,,Sophus Nutrition Commercialisation,Westcourt,4870,,Cairns (R),Far North Queensland,Cairns,200000,2020-05-08,2020,0,0
Regional Councils,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Shop Ferret Pty Ltd,Bungalow,4870,,,Qld Tourism Boost with Chat2Concierge!,Bungalow,4870,,Cairns (R),Far North Queensland,Cairns,100000,2020-05-08,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Skynet Satellite Communications Pty Ltd,Newmarket,4051,,,SkyNet Commercial ADS-B,Newmarket,4051,,Brisbane (C),Brisbane and Redlands,Stafford,104000,2020-05-08,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Sonder Place Pty Ltd,Teneriffe,4005,,,Waste to Workwear  BeauTex Launch,Teneriffe,4005,,Brisbane (C),Brisbane and Redlands,McConnel,50000,2020-05-08,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,The Trustee for the Ride Free Media Trust T/A Ride Free Media,West End,4101,,,Wrappt National Expansion,West End,4101,,Brisbane (C),Brisbane and Redlands,South Brisbane,200000,2020-05-08,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,WorkGuru Pty Ltd,Greenslopes,4007,,,Enabling Qld Manufacturing with WorkGuru.io,Tarragindi,4121,,Brisbane (C),Brisbane and Redlands,Greenslopes,100000,2020-05-08,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Next World Enterprises Pty Ltd,Morningside,4170,,,Build Your Own VR Induction,Morningside,4170,,Brisbane (C),Brisbane and Redlands,Bulimba,100000,2020-05-08,2020,0,0
Cities,WaterStart,Round 1,WaterStart Pty Ltd,Brisbane City,4000,,,WaterStart,Brisbane City,4000,,Brisbane (C),Brisbane and Redlands,McConnel,500000,2020-05-19,2020,0,0
Cities,Bionics,,Bionics Queensland Limited,Ashgrove,4060,,,Bionics Queensland Innovation and Research Challenge,Ashgrove,4060,,Brisbane (C),Brisbane and Redlands,Cooper,100000,2020-05-22,2020,0,0
Cities,Bionics,,Bionics Queensland Limited,Ashgrove,4060,, Motor Accident Insurance Commission,Bionics Ecosystem Mapping Study,Ashgrove,4060,,Brisbane (C),Brisbane and Redlands,Cooper,60000,2020-06-03,2020,0,0
Cities,Mental Health Services for Founders,,Australian Computer Society Incorporated t/a River City Labs,Fortitude Valley,4006,,,Mental Health for Founders,Fortitude Valley,4006,,Brisbane (C),Brisbane and Redlands,McConnel,52499,2020-06-04,2020,0,1
Cities,BDO Business of Entrepreneurship,,Acceler8 Pty Ltd,Brisbane City,4000,,,Acceler8 for delivery of the BDO Business of Entrepreneurship Program: supporting startups and scaleups in a COVID-19 world,Brisbane City,4000,,Brisbane (C),Brisbane and Redlands,McConnel,356396,2020-06-04,2020,0,0
Cities,Industry Accelerators,,Real Serious Games Pty Ltd,Fortitude Valley,4006,,,Immersive Technologies Hub,Fortitude Valley,4006,,Brisbane (C),Brisbane and Redlands,McConnel,300000,2020-06-29,2020,0,0
Cities,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2020-21,Smart Precinct NQ Limited,Townsville City,4810,,,"North Queensland Investment, Innovation & Industry Catalyst",Townsville City,4810,,Townsville (C),Townsville,Townsville,500000,2020-07-02,2020,0,0
Cities,Therabubble,Round 1,Physiotherapy Innovations Pty Ltd,Cornubia,4130,,,Therabubble™ - Accelerated Research and Development for a Covid-19 Response,Cornubia,4130,,Logan (C),Logan,Macalister,114309,2020-07-08,2020,0,1
Regional Councils,Sunramp Accelerator Program,Round 1,Sunshine Coast Regional Council,Maroochydore,4558,,,SunRamp Accelerator Program Sunshine Coast,Maroochydore,4558,,Sunshine Coast (R),Sunshine Coast,Maroochydore,160000,2020-07-08,2020,0,0
Cities,Orange Sky - Campfire,,Orange Sky Australia Limited,Albion,4010,,,Campfire,Caboolture,4510,"215 Walker St, Townsville QLD 4810",Brisbane (C),Moreton Bay,Clayfield,120000,2020-07-08,2020,0,0
Regional Councils,Deadly Innovation,Round 1,BCF Concreting Solutions Pty Ltd,Rockhampton City,4700,,,Top Con GPS millimietre guidance system for Wirtgen former.,Rockhampton City,4700,312 Alexandra Street Kawana 4701,Rockhampton (R),Central Queensland,Rockhampton,70000,2020-07-13,2020,1,0
Cities,Deadly Innovation,Round 1,Nourishing Bites Pty Ltd,West End,4810,,,Commercialise Heavenly Hazel ChocHazelnut Spread,West End,4810,,Townsville (C),Townsville,Townsville,72986,2020-07-13,2020,1,0
Regional Councils,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,Central Queensland University,Norman Gardens,4701,," Gurriny Yealamucka Health Service Aboriginal Corporation 
 Southern Queensland Centre of Excellence in Aboriginal and Torres Strait Islander Primary Healthcare (Inala COE) 
 Apunipima Cape York Health Council Limited 
 Deadly Inspiring Youth Doing Good (DIYDG) 
 Department of Education 
 Centre for Research Excellence in Strengthening Systems for Indigenous Healthcare Equity",Preventing secondary harm: Scaffolding healthcare capacity to promote Indigenous adolescents’ mental health - Janya McCalman,Cairns City,4870,"Yarrabah, Cape York and Inala in Queensland, Australia.",Rockhampton (R),Far North Queensland,Keppel,150000,2020-07-16,2020,1,1
Regional Councils,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University of Queensland - Rural Clinical School,South Toowoomba,4350,," University of South Australia 
 University of Queensland - Southern Queensland Rural Health",Impact of and implications beyond COVID-19 on clinical supervision of staff and students in hospital and health settings - Priya Martin,Mount Lofty,4350,Research sites - Darling Downs and South West Hospital and Health Services,Toowoomba (R),Darling Downs,Toowoomba South,86952,2020-07-16,2020,0,1
Regional Councils,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,University of the Sunshine Coast,Sippy Downs,4556,, Sunshine Coast Hospital and Health Service,CoViBac: Host response and secondary pneumonia in COVID-19 - Olusola Olagoke,Birtinya,4575,"90 Sippy Downs Dr, Sippy Downs, QLD, 4556",Sunshine Coast (R),Sunshine Coast,Buderim,90000,2020-07-16,2020,0,1
